时间,预测电价 (元/kWh),光伏发电量 (kW),总负荷 (kW),计划充放电量 (kW),计划净交易功率 (kW)
00:00,0.3456,0.0,300.0,0.0,-300.0
00:15,0.3456,0.0,300.0,0.0,-300.0
00:30,0.3456,0.0,300.0,0.0,-300.0
00:45,0.3456,0.0,300.0,0.0,-300.0
01:00,0.3456,0.0,300.0,0.0,-300.0
01:15,0.3456,0.0,300.0,0.0,-300.0
01:30,0.3456,0.0,300.0,0.0,-300.0
01:45,0.3456,0.0,300.0,0.0,-300.0
02:00,0.3456,0.0,300.0,0.0,-300.0
02:15,0.3456,0.0,300.0,0.0,-300.0
02:30,0.3456,0.0,300.0,0.0,-300.0
02:45,0.3456,0.0,300.0,0.0,-300.0
03:00,0.3456,0.0,300.0,0.0,-300.0
03:15,0.3456,0.0,300.0,0.0,-300.0
03:30,0.3456,0.0,300.0,0.0,-300.0
03:45,0.3456,0.0,300.0,0.0,-300.0
04:00,0.3456,0.0,300.0,0.0,-300.0
04:15,0.3456,0.0,300.0,0.0,-300.0
04:30,0.3456,0.0,300.0,0.0,-300.0
04:45,0.3456,0.0,300.0,0.0,-300.0
05:00,0.3456,0.0,300.0,0.0,-300.0
05:15,0.3456,0.0,300.0,0.0,-300.0
05:30,0.3456,0.0,300.0,0.0,-300.0
05:45,0.3456,0.0,300.0,0.0,-300.0
06:00,0.3456,0.0,300.0,0.0,-300.0
06:15,0.3456,0.0,300.0,0.0,-300.0
06:30,0.3456,0.0,300.0,0.0,-300.0
06:45,0.3456,0.0,300.0,0.0,-300.0
07:00,0.5432,0.0,300.0,0.0,-300.0
07:15,0.5432,65.4,366.67,0.0,-301.26
07:30,0.5432,130.53,433.33,0.0,-302.81
07:45,0.5432,195.09,500.0,0.0,-304.91
08:00,0.8234,258.82,500.0,0.0,-241.18
08:15,0.8234,321.44,500.0,0.0,-178.56
08:30,0.8234,382.68,500.0,0.0,-117.32
08:45,0.8234,442.29,500.0,0.0,-57.71
09:00,0.8234,500.0,500.0,0.0,-0.0
09:15,0.8234,555.57,500.0,0.0,55.57
09:30,0.8234,608.76,500.0,0.0,108.76
09:45,0.8234,659.35,500.0,0.0,159.35
10:00,0.8234,707.11,500.0,0.0,207.11
10:15,0.8234,751.84,500.0,0.0,251.84
10:30,0.8234,793.35,500.0,0.0,293.35
10:45,0.8234,831.47,500.0,0.0,331.47
11:00,0.8234,866.03,500.0,0.0,366.03
11:15,0.8234,896.87,500.0,0.0,396.87
11:30,0.8234,923.88,500.0,0.0,423.88
11:45,0.8234,946.93,500.0,0.0,446.93
12:00,0.5432,965.93,500.0,0.0,465.93
12:15,0.5432,980.79,485.71,0.0,495.07
12:30,0.5432,991.44,471.43,0.0,520.02
12:45,0.5432,997.86,457.14,0.0,540.72
13:00,0.5432,1000.0,442.86,0.0,557.14
13:15,0.5432,997.86,428.57,0.0,569.29
13:30,0.5432,991.44,414.29,0.0,577.16
13:45,0.5432,980.79,400.0,0.0,580.79
14:00,0.5432,965.93,400.0,0.0,565.93
14:15,0.5432,946.93,400.0,0.0,546.93
14:30,0.5432,923.88,400.0,0.0,523.88
14:45,0.5432,896.87,400.0,0.0,496.87
15:00,0.5432,866.03,400.0,0.0,466.03
15:15,0.5432,831.47,400.0,0.0,431.47
15:30,0.5432,793.35,400.0,0.0,393.35
15:45,0.5432,751.84,400.0,0.0,351.84
16:00,0.5432,707.11,400.0,0.0,307.11
16:15,0.5432,659.35,400.0,0.0,259.35
16:30,0.5432,608.76,400.0,0.0,208.76
16:45,0.5432,555.57,400.0,0.0,155.57
17:00,0.5432,500.0,400.0,0.0,100.0
17:15,0.5432,442.29,466.67,0.0,-24.38
17:30,0.5432,382.68,533.33,0.0,-150.65
17:45,0.5432,321.44,600.0,0.0,-278.56
18:00,0.8234,258.82,600.0,0.0,-341.18
18:15,0.8234,195.09,600.0,0.0,-404.91
18:30,0.8234,130.53,600.0,0.0,-469.47
18:45,0.8234,65.4,600.0,0.0,-534.6
19:00,0.8234,0.0,600.0,0.0,-600.0
19:15,0.8234,0.0,600.0,0.0,-600.0
19:30,0.8234,0.0,600.0,0.0,-600.0
19:45,0.8234,0.0,600.0,0.0,-600.0
20:00,0.8234,0.0,600.0,0.0,-600.0
20:15,0.8234,0.0,600.0,0.0,-600.0
20:30,0.8234,0.0,600.0,0.0,-600.0
20:45,0.8234,0.0,600.0,0.0,-600.0
21:00,0.8234,0.0,600.0,0.0,-600.0
21:15,0.8234,0.0,600.0,0.0,-600.0
21:30,0.8234,0.0,600.0,0.0,-600.0
21:45,0.8234,0.0,600.0,0.0,-600.0
22:00,0.3456,0.0,600.0,0.0,-600.0
22:15,0.3456,0.0,557.14,0.0,-557.14
22:30,0.3456,0.0,514.29,0.0,-514.29
22:45,0.3456,0.0,471.43,0.0,-471.43
23:00,0.3456,0.0,428.57,0.0,-428.57
23:15,0.3456,0.0,385.71,0.0,-385.71
23:30,0.3456,0.0,342.86,0.0,-342.86
23:45,0.3456,0.0,300.0,0.0,-300.0
